# Final cleanup for remaining classNNN_suffix_ aliases.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
*,local,*,,,,class299_525_,inboundPacketBufferVar525,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_524_,inboundPacketBufferVar524,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_33_,inboundPacketBufferVar33,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_204_,inboundPacketBufferVar204,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_203_,inboundPacketBufferVar203,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_155_,inboundPacketBufferVar155,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class299_154_,inboundPacketBufferVar154,,,"InboundPacketBuffer typed variable"
*,local,*,,,,class101_16_,matrixVar16,,,"Matrix typed variable"
